act	catch
horse	running
id	check
idea	got
leaning	continued
life	live
limits	make
limits	mean
limits	put
lips	speckling
look	taking
medic	says
medic	target
methods	live
minds	reading
minutes	heard
minutes	survive
note	wrote
oath	taken
peace	make
people	got
people	told
pistol	keeping
pistol	reloaded
plaguers	know
plaguers	learn
plaguers	means
plaguers	rode
pocket	got
pocket	stole
positions	passed
precautions	take
priest	're
priest	protect
priest	tell
priests	required
problem	arise
reaction	bothered
reaction	leaving
reaction	mean
rear	holstered
rear	sent
rest	fled
road	pull
saddlebags	bring
seconds	daydreaming
seconds	saw
shirt	pinned
shots	heard
side	knelt
sigh	died
stop	pulled
tactic	seem
team	opened
terrorists	expected
terrorists	fell
thanks	taken
tracker	got
tracker	spots
tracks	studied
trouble	cause
victims	surviving
victory	claimed
voice	's
walk	riding
ways	mean
ways	wipe
words	understand
advantages	take
alarm	spread
back	let
backing	accept
backing	go
badge	balance
bodies	identifying
case	choose
chance	get
choice	leaving
choice	talk
consent	turn
conviction	doubt
dangers	take
door	knock
explanation	gave
face	watching
food	looking
gardens	led
gelding	having
gelding	lay
gentles	eat
glove	leave
gloves	buying
gloves	saw
grin	managed
guardhouse	turned
head	shook
help	known
highnesses	disturb
honor	loaned
horse	leading
horse	rein
horses	take
humans	going
humans	known
idea	like
idea	seemed
indiscretion	leaving
informality	settled
intensity	startled
lawns	led
lieutenant	called
lieutenant	emerged
lieutenant	hope
lieutenant	know
lieutenant	told
lieutenant	turned
majesty	going
monastery	's
monastery	took
opinions	heard
ops	join
order	argue
parts	playing
pleasure	covered
pleasure	returned
possibility	's
puppets	're
puppets	got
puppets	sound
quarters	're
reputation	leaving
roses	climbing
scenario	assume
scenario	means
seconds	emerged
sergeant	emerged
sergeant	meet
sergeant	thank
silence	nodded
stay	enjoy
story	's
story	heard
story	seemed
suggestion	got
surgery	worked
target	're
target	go
target	going
targets	make
targets	turn
team-leaders	leaving
things	got
trademark	decided
adversary	dared
adversary	pointed
algetin	discontinue
assignment	take
attempt	fooled
attempt	gave
attention	turned
broth	choked
broth	put
case	try
cases	referred
casualties	taking
choice	make
civ	falls
clerk-private	grimaced
direction	bowed
dispensation	accept
dispensation	does
dispensation	mentioned
dispensation	thought
dispensation	understand
duty	happened
duty	keep
duty	want
feb	sitting
field	wanted
friday	sitting
function	cause
function	make
function	reclaim
gesture	settled
hand	stroking
hunt	give
limit	put
maiming	found
medic	answered
men	routed
minutes	spent
mistress	assumed
mistress	does
mistress	mentioned
mistress	wake
mmm	fits
mmm	pointed
name	take
nest	grimaced
operation	set
people	taking
possibilities	offered
power	rousing
power	using
presence	explained
recruiter	send
right	read
saturday	dream
service	save
sleep	fade
student	handle
surgery	sedated
talent	discovered
talent	know
talents	wasting
team	given
team	go
team	mention
things	keeping
time	left
time	looked
tomorrow	wake
tracker	expect
troopers	outnumbered
troopers	routed
tubes	stroking
version	offered
version	prevent
warrant	got
woman	looked
woman	loved
woman	referred
woman	wanted
years	loved
activity	helped
authorities	nudging
breasts	touched
burden	bear
charisma	resist
choices	leave
credit	need
denial	forestall
door	settled
dream	disturb
dream	disturbed
dream	find
dream	seemed
drink	mean
drinking	feel
eagle	outranked
everyone	make
expression	haunted
expression	saw
eyes	closing
face	saw
fact	accompanying
functions	used
hand	touching
head	touching
heads-up	give
heads-up	want
immunity	loses
integrity	admire
integrity	concern
interpretations	tend
knowledge	's
knowledge	chooses
knowledge	handle
man	'm
man	've
man	accepted
man	addressing
man	approaching
man	broke
man	choose
man	give
man	hope
man	kept
man	knew
man	looked
man	neared
man	need
man	offered
man	paused
man	please
man	protected
man	raised
man	reject
man	serve
man	smiled
man	talking
milk	taste
nap	catch
night-lighting	care
night-lighting	dressed
nipple	appeared
nod	managed
pain	feel
people	prefer
phase	begins
pleasure	feel
pope	saying
possibility	foresaw
possibility	understand
power	give
precautions	taking
presence	feel
prophecies	modify
protector	acting
protector	manifests
protector	serve
protectorship	acknowledge
raidmaster	introduced
sake	accompanying
smile	returned
son	assure
son	please
son	turned
star	outranked
stranger	thank
support	choose
support	need
surgery	knew
surrogate	act
table	joined
table	napping
