others	bound
others	directed
others	exterminated
othersâ	rely
otherâ	thrust
ottomans	enabled
ottomans	fell
oversight	favoured
pace	continued
pace	covered
pace	marched
palisade	marched
palisades	surged
palm-groves	saw
panic	caused
panic	seized
panoply	clog
panoply	hamper
panoply	protected
parallel	coming
parallel	find
parallel	found
parishes	put
part	accustomed
part	drawn
part	leading
part	play
part	played
part	take
part	took
part	work
parties	detached
parties	preventing
parties	repeated
parties	rushed
parties	wheeled
parts	bring
parts	divided
party	beaten
party	crushed
party	join
party	routed
party	suffer
passage	grant
passes	fight
passes	gone
passes	wedged
patrician	added
patrician	exercised
patriotism	find
peasantry	intercepted
people	led
perfection	attained
period	displayed
period	drawn
period	falling
periods	preceding
persistence	increased
phalanx	bear
phalanx	break
phalanx	launch
phalanx	marched
phalanx	rival
phalanx	seen
philosopher	declares
philosopher	denotes
philosopher	recommended
phrygia	rode
pieces	cut
pieces	dispersed
pieces	drag
pieces	taken
pike	grasping
pike	master
pike	owing
pike	pressed
pikeman	met
pikeman	represented
pikemen	consisted
pikemen	give
pikemen	joined
pikemen	throw
pikes	got
pisistratus	imitating
pitch	reached
place	carry
place	given
place	invested
place	meet
place	reduce
place	took
places	fortified
plain	caught
plain	cut
plains	ranged
plan	succeeded
pleasure	found
plunderers	engaged
plunderers	esteem
plunderers	fall
plunderers	march
plunderers	retreating
plunderers	saw
plunderers	shot
plunderers	stand
point	ended
point	found
point	strike
point	â
points	beat
points	bristling
points	placed
points	slipping
polycrates	imitating
population	put
position	assailing
position	chose
position	drawn
position	drew
position	established
position	flanked
position	forced
position	fortifying
position	imperilled
position	left
position	lift
position	living
position	lost
position	protected
position	put
position	realize
position	selected
position	sunk
position	take
position	taking
position	took
position	turned
positions	fortified
positions	fought
positions	held
positions	intrench
positions	posted
positions	supplement
positions	used
post	left
power	constituted
practice	adopted
praise	wins
precautions	considered
precautions	detaching
precautions	directing
precautions	neglecting
precautions	selecting
predecessors	employed
predecessors	â
preparations	win
preponderance	asserted
presence	pointing
presence	serves
pressure	required
pressure	thrust
prevalence	shown
prince	brought
prince	won
princes	called
princes	followed
princes	utilised
procopius	fell
procopius	writes
profit	turning
proportion	bore
proposition	marks
protection	impaired
province	fall
province	going
provisions	lasted
psiloi	provided
purpose	accompanied
purpose	carried
purposes	constructed
pursuers	allowed
pursuers	entangle
pursuers	turned
pursuit	secure
quarter	expected
quarter	gave
quarter	give
quarter	given
quarters	busied
quarters	close
quarters	struck
question	found
race	marched
race	removed
raid	delivering
raiders	come
raiders	offer
raiders	turn
raids	intercept
raids	left
raids	plundering
rampart	built
ramparts	command
rank	carried
rank	composed
rank	form
rank	held
rank	wore
ranks	concentrate
ranks	died
ranks	disordered
ranks	endeavoured
ranks	fallen
ranks	opened
ranks	pass
ranks	ploughing
ranks	tear
ranks	throw
ranks	trampled
rash	attempts
rash	discovered
realm	split
rear	appeared
rear	charged
rear	cover
rear	directed
rear	kept
rear	posted
rear	rushed
rear	send
rear	sent
rear	surging
rear	wheeled
reasons	ascribing
rebels	â
reforms	mention
reinforcements	spread
reins	turned
remainder	armed
reputation	reckon
resemblance	bore
reserve	consists
reserve	formed
reserve	keeping
reserve	placed
reserve	providing
reserve	sent
reserve	utilized
reserve	win
resistance	make
respect	obtained
respect	remind
rest	drove
rest	fatigued
result	ensued
result	followed
result	renewed
result	tended
results	expected
results	led
retainers	battle
retainers	mounted
retreat	continued
retreat	delayed
retreat	execute
retreat	harassed
retreats	degenerate
revenge	took
reã	â
right	assailed
right	flanked
rise	bring
rise	marked
rise	owes
river	fight
river-mouths	expelled
road	choked
road	exploring
road	passes
road	prevented
road	win
rock	built
rock	withstood
romans	turned
romont	blockading
ropes	drew
round	served
rout	ensued
route	took
rule	come
rule	forms
s	attack
s	cavalry
s	defeat
s	mace
s	march
sacrifice	fell
scale	enacted
scimitar	bore
scimitars	hope
scots	arriving
sea	drove
sea-shore	collected
sea-shore	surmounted
search	rendered
seas	pass
seat	impaired
seats	removed
service	enter
services	buy
shade	thrown
shaft	fitted
shaft	launch
shaft	presented
shape	assumed
shapes	represented
share	losing
shield	added
shield	carried
shield	carrying
shield	formed
shield	shifted
shield	used
